s1,s2,score
comp2400,comp2100,0.8955
comp2400,comp2120,0.8706
comp2400,comp2310,0.8862
comp2400,comp2400,0.92
comp2400,comp2410,0.8745
comp2400,comp2420,0.8906
comp2400,comp2550,0.8626
comp2400,comp2560,0.8515
comp2400,comp2610,0.8726
comp2400,comp2620,0.8732
comp2400,comp2700,0.8703
comp2400,comp3120,0.8574
comp2400,comp3300,0.8857
comp2400,comp3310,0.8921
comp2400,comp3320,0.8828
comp2400,comp3425,0.878
comp2400,comp3430,0.8888
comp2400,comp3530,0.8609
comp2400,comp3600,0.8946
comp2400,comp3620,0.8783
comp2400,comp3701,0.8727
comp2400,comp3703,0.8815
comp2400,comp3704,0.865
comp2400,comp3900,0.8711
comp2400,comp4300,0.8935
comp2400,comp4330,0.8822
comp2400,comp4610,0.8821
comp2400,comp4620,0.866
comp2400,comp4670,0.8698
comp2400,comp4691,0.8819
comp2410,comp1100,0.8776
comp2410,comp1110,0.8888
comp2410,comp1600,0.8472
comp2410,comp1710,0.8948
comp2410,comp1730,0.8819
comp2410,comp2100,0.8925
comp2410,comp2120,0.8937
comp2410,comp2310,0.8812
comp2410,comp2400,0.8745
comp2410,comp2410,0.92
comp2410,comp2420,0.8838
comp2410,comp2550,0.8838
comp2410,comp2560,0.8725
comp2410,comp2610,0.8737
comp2410,comp2620,0.8574
comp2410,comp2700,0.8923
comp2410,comp3120,0.8737
comp2410,comp3300,0.8852
comp2410,comp3310,0.9043
comp2410,comp3320,0.8908
comp2410,comp3425,0.8895
comp2410,comp3430,0.8951
comp2410,comp3530,0.8789
comp2410,comp3600,0.8871
comp2410,comp3620,0.883
comp2410,comp3701,0.8999
comp2410,comp3703,0.8841
comp2410,comp3704,0.8858
comp2410,comp3900,0.8954
comp2410,comp4300,0.8865
comp2410,comp4330,0.8907
comp2410,comp4610,0.8844
comp2410,comp4620,0.8819
comp2410,comp4670,0.8651
comp2410,comp4691,0.8774
comp2420,comp1100,0.8838
comp2420,comp1110,0.8912
comp2420,comp1600,0.8662
comp2420,comp1710,0.8882
comp2420,comp1730,0.8841
comp2420,comp2100,0.8959
comp2420,comp2120,0.882
comp2420,comp2310,0.878
comp2420,comp2400,0.8906
comp2420,comp2410,0.8838
comp2420,comp2420,0.92
comp2420,comp2550,0.8828
comp2420,comp2560,0.8644
comp2420,comp2610,0.885
comp2420,comp2620,0.8774
comp2420,comp2700,0.8851
comp2420,comp3120,0.8709
comp2420,comp3300,0.8794
comp2420,comp3310,0.8937
comp2420,comp3320,0.8847
comp2420,comp3425,0.8946
comp2420,comp3430,0.9028
comp2420,comp3530,0.8711
comp2420,comp3600,0.8964
comp2420,comp3620,0.8853
comp2420,comp3701,0.889
comp2420,comp3703,0.8858
comp2420,comp3704,0.8767
comp2420,comp3900,0.8865
comp2420,comp4300,0.8862
comp2420,comp4330,0.8873
comp2420,comp4610,0.8822
comp2420,comp4620,0.879
comp2420,comp4670,0.8797
comp2420,comp4691,0.887
comp2550,comp1100,0.8793
comp2550,comp1110,0.889
comp2550,comp1600,0.8505
comp2550,comp1710,0.8932
comp2550,comp1730,0.8871
comp2550,comp2100,0.8903
comp2550,comp2120,0.8994
comp2550,comp2310,0.8653
comp2550,comp2400,0.8626
comp2550,comp2410,0.8838
comp2550,comp2420,0.8828
comp2550,comp2550,0.92
comp2550,comp2560,0.9015
comp2550,comp2610,0.8683
comp2550,comp2620,0.8697
comp2550,comp2700,0.8868
comp2550,comp3120,0.8877
comp2550,comp3300,0.8728
comp2550,comp3310,0.8782
comp2550,comp3320,0.8855
comp2550,comp3425,0.8984
comp2550,comp3430,0.8904
comp2550,comp3530,0.8825
comp2550,comp3600,0.8857
comp2550,comp3620,0.8882
comp2550,comp3701,0.8943
comp2550,comp3703,0.8769
comp2550,comp3704,0.8701
comp2550,comp3900,0.9008
comp2550,comp4300,0.8781
comp2550,comp4330,0.8784
comp2550,comp4610,0.8763
comp2550,comp4620,0.9038
comp2550,comp4670,0.8737
comp2550,comp4691,0.882
comp2560,comp1100,0.8705
comp2560,comp1110,0.8791
comp2560,comp1600,0.8379
comp2560,comp1710,0.8833
comp2560,comp1730,0.8827
comp2560,comp2100,0.8752
comp2560,comp2120,0.8891
comp2560,comp2310,0.8577
comp2560,comp2400,0.8515
comp2560,comp2410,0.8725
comp2560,comp2420,0.8644
comp2560,comp2550,0.9015
comp2560,comp2560,0.92
comp2560,comp2610,0.8531
comp2560,comp2620,0.8575
comp2560,comp2700,0.8781
comp2560,comp3120,0.8743
comp2560,comp3300,0.8659
comp2560,comp3310,0.8644
comp2560,comp3320,0.8806
comp2560,comp3425,0.8887
comp2560,comp3430,0.8703
comp2560,comp3530,0.8747
comp2560,comp3600,0.8754
comp2560,comp3620,0.8802
comp2560,comp3701,0.8831
comp2560,comp3703,0.862
comp2560,comp3704,0.8588
comp2560,comp3900,0.8891
comp2560,comp4300,0.869
comp2560,comp4330,0.8675
comp2560,comp4610,0.8719
comp2560,comp4620,0.9002
comp2560,comp4670,0.8632
comp2560,comp4691,0.871
comp2610,comp1100,0.878
comp2610,comp1110,0.8785
comp2610,comp1600,0.8698
comp2610,comp1710,0.8743
comp2610,comp1730,0.8798
comp2610,comp2100,0.8827
comp2610,comp2120,0.8614
comp2610,comp2310,0.8716
comp2610,comp2400,0.8726
comp2610,comp2410,0.8737
comp2610,comp2420,0.885
comp2610,comp2550,0.8683
comp2610,comp2560,0.8531
comp2610,comp2610,0.92
comp2610,comp2620,0.8863
comp2610,comp2700,0.8767
comp2610,comp3120,0.8552
comp2610,comp3300,0.8711
comp2610,comp3310,0.8839
comp2610,comp3320,0.8811
comp2610,comp3425,0.8853
comp2610,comp3430,0.8849
comp2610,comp3530,0.8618
comp2610,comp3600,0.8977
comp2610,comp3620,0.8822
comp2610,comp3701,0.8763
comp2610,comp3703,0.8684
comp2610,comp3704,0.8678
comp2610,comp3900,0.8734
comp2610,comp4300,0.8826
comp2610,comp4330,0.8862
comp2610,comp4610,0.8808
comp2610,comp4620,0.8673
comp2610,comp4670,0.882
comp2610,comp4691,0.891
comp2620,comp1100,0.8837
comp2620,comp1110,0.8842
comp2620,comp1600,0.8908
comp2620,comp1710,0.8669
comp2620,comp1730,0.8826
comp2620,comp2100,0.8833
comp2620,comp2120,0.856
comp2620,comp2310,0.8685
comp2620,comp2400,0.8732
comp2620,comp2410,0.8574
comp2620,comp2420,0.8774
comp2620,comp2550,0.8697
comp2620,comp2560,0.8575
comp2620,comp2610,0.8863
comp2620,comp2620,0.92
comp2620,comp2700,0.8688
comp2620,comp3120,0.8518
comp2620,comp3300,0.8641
comp2620,comp3310,0.8701
comp2620,comp3320,0.8742
comp2620,comp3425,0.8794
comp2620,comp3430,0.8712
comp2620,comp3530,0.8543
comp2620,comp3600,0.8922
comp2620,comp3620,0.8818
comp2620,comp3701,0.8669
comp2620,comp3703,0.8601
comp2620,comp3704,0.8502
comp2620,comp3900,0.8686
comp2620,comp4300,0.8833
comp2620,comp4330,0.8768
comp2620,comp4610,0.8719
comp2620,comp4620,0.8732
comp2620,comp4670,0.8785
comp2620,comp4691,0.889
comp2700,comp1100,0.8825
comp2700,comp1110,0.8899
comp2700,comp1600,0.846
comp2700,comp1710,0.8968
comp2700,comp1730,0.8864
comp2700,comp2100,0.8927
comp2700,comp2120,0.8887
comp2700,comp2310,0.8801
comp2700,comp2400,0.8703
comp2700,comp2410,0.8923
comp2700,comp2420,0.8851
comp2700,comp2550,0.8868
comp2700,comp2560,0.8781
comp2700,comp2610,0.8767
comp2700,comp2620,0.8688
comp2700,comp2700,0.92
comp2700,comp3120,0.8849
comp2700,comp3300,0.8792
comp2700,comp3310,0.8943
comp2700,comp3320,0.8844
comp2700,comp3425,0.8959
comp2700,comp3430,0.8932
comp2700,comp3530,0.8814
comp2700,comp3600,0.8863
comp2700,comp3620,0.8817
comp2700,comp3701,0.9174
comp2700,comp3703,0.8978
comp2700,comp3704,0.8959
comp2700,comp3900,0.894
comp2700,comp4300,0.886
comp2700,comp4330,0.8924
comp2700,comp4610,0.8829
comp2700,comp4620,0.8813
comp2700,comp4670,0.8685
comp2700,comp4691,0.8825
comp3120,comp1100,0.8659
comp3120,comp1110,0.8753
comp3120,comp1600,0.8265
comp3120,comp1710,0.8827
comp3120,comp1730,0.8745
comp3120,comp2100,0.8782
comp3120,comp2120,0.8826
comp3120,comp2310,0.8614
comp3120,comp2400,0.8574
comp3120,comp2410,0.8737
comp3120,comp2420,0.8709
comp3120,comp2550,0.8877
comp3120,comp2560,0.8743
comp3120,comp2610,0.8552
comp3120,comp2620,0.8518
comp3120,comp2700,0.8849
comp3120,comp3120,0.92
comp3120,comp3300,0.8621
comp3120,comp3310,0.8731
comp3120,comp3320,0.8679
comp3120,comp3425,0.883
comp3120,comp3430,0.8813
comp3120,comp3530,0.8812
comp3120,comp3600,0.8681
comp3120,comp3620,0.8653
comp3120,comp3701,0.8904
comp3120,comp3703,0.8696
comp3120,comp3704,0.8651
comp3120,comp3900,0.8828
comp3120,comp4300,0.869
comp3120,comp4330,0.8769
comp3120,comp4610,0.8648
comp3120,comp4620,0.8715
comp3120,comp4670,0.8553
comp3120,comp4691,0.8635
comp3300,comp1100,0.8866
comp3300,comp1110,0.8939
comp3300,comp1600,0.8668
comp3300,comp1710,0.8864
comp3300,comp1730,0.8938
comp3300,comp2100,0.8969
comp3300,comp2120,0.8837
comp3300,comp2310,0.8966
comp3300,comp2400,0.8857
comp3300,comp2410,0.8852
comp3300,comp2420,0.8794
comp3300,comp2550,0.8728
comp3300,comp2560,0.8659
comp3300,comp2610,0.8711
comp3300,comp2620,0.8641
comp3300,comp2700,0.8792
comp3300,comp3120,0.8621
comp3300,comp3300,0.92
comp3300,comp3310,0.9025
comp3300,comp3320,0.898
comp3300,comp3425,0.8878
comp3300,comp3430,0.8844
comp3300,comp3530,0.8738
comp3300,comp3600,0.8975
comp3300,comp3620,0.8844
comp3300,comp3701,0.889
comp3300,comp3703,0.8924
comp3300,comp3704,0.8815
comp3300,comp3900,0.8844
comp3300,comp4300,0.9067
comp3300,comp4330,0.8911
comp3300,comp4610,0.89
comp3300,comp4620,0.8738
comp3300,comp4670,0.8696
comp3300,comp4691,0.8823
comp3310,comp1100,0.8879
comp3310,comp1110,0.8978
comp3310,comp1600,0.8646
comp3310,comp1710,0.8988
comp3310,comp1730,0.8879
comp3310,comp2100,0.9044
comp3310,comp2120,0.8848
comp3310,comp2310,0.9012
comp3310,comp2400,0.8921
comp3310,comp2410,0.9043
comp3310,comp2420,0.8937
comp3310,comp2550,0.8782
comp3310,comp2560,0.8644
comp3310,comp2610,0.8839
comp3310,comp2620,0.8701
comp3310,comp2700,0.8943
comp3310,comp3120,0.8731
comp3310,comp3300,0.9025
comp3310,comp3310,0.92
comp3310,comp3320,0.8956
comp3310,comp3425,0.8933
comp3310,comp3430,0.9048
comp3310,comp3530,0.8782
comp3310,comp3600,0.8989
comp3310,comp3620,0.888
comp3310,comp3701,0.9023
comp3310,comp3703,0.8939
comp3310,comp3704,0.8983
comp3310,comp3900,0.8918
comp3310,comp4300,0.906
comp3310,comp4330,0.901
comp3310,comp4610,0.8934
comp3310,comp4620,0.8762
comp3310,comp4670,0.8754
comp3310,comp4691,0.8841
comp3320,comp1100,0.8917
comp3320,comp1110,0.8986
comp3320,comp1600,0.8729
comp3320,comp1710,0.8913
comp3320,comp1730,0.9032
comp3320,comp2100,0.8992
comp3320,comp2120,0.8933
comp3320,comp2310,0.8928
comp3320,comp2400,0.8828
comp3320,comp2410,0.8908
comp3320,comp2420,0.8847
comp3320,comp2550,0.8855
comp3320,comp2560,0.8806
comp3320,comp2610,0.8811
comp3320,comp2620,0.8742
comp3320,comp2700,0.8844
comp3320,comp3120,0.8679
comp3320,comp3300,0.898
comp3320,comp3310,0.8956
comp3320,comp3320,0.92
comp3320,comp3425,0.8946
comp3320,comp3430,0.8867
comp3320,comp3530,0.8812
comp3320,comp3600,0.9075
comp3320,comp3620,0.8948
comp3320,comp3701,0.891
comp3320,comp3703,0.8907
comp3320,comp3704,0.8792
comp3320,comp3900,0.8909
comp3320,comp4300,0.909
comp3320,comp4330,0.8955
comp3320,comp4610,0.9014
comp3320,comp4620,0.8861
comp3320,comp4670,0.8805
comp3320,comp4691,0.8961
comp3425,comp1100,0.8844
comp3425,comp1110,0.8909
comp3425,comp1600,0.8593
comp3425,comp1710,0.8961
comp3425,comp1730,0.894
comp3425,comp2100,0.8931
comp3425,comp2120,0.8944
comp3425,comp2310,0.8807
comp3425,comp2400,0.878
comp3425,comp2410,0.8895
comp3425,comp2420,0.8946
comp3425,comp2550,0.8984
comp3425,comp2560,0.8887
comp3425,comp2610,0.8853
comp3425,comp2620,0.8794
comp3425,comp2700,0.8959
comp3425,comp3120,0.883
comp3425,comp3300,0.8878
comp3425,comp3310,0.8933
comp3425,comp3320,0.8946
comp3425,comp3425,0.92
comp3425,comp3430,0.9021
comp3425,comp3530,0.8836
comp3425,comp3600,0.9006
comp3425,comp3620,0.8934
comp3425,comp3701,0.9007
comp3425,comp3703,0.8871
comp3425,comp3704,0.8853
comp3425,comp3900,0.8984
comp3425,comp4300,0.8892
comp3425,comp4330,0.8919
comp3425,comp4610,0.8874
comp3425,comp4620,0.8901
comp3425,comp4670,0.8843
comp3425,comp4691,0.8921
comp3430,comp1100,0.8848
comp3430,comp1110,0.896
comp3430,comp1600,0.8545
comp3430,comp1710,0.8991
comp3430,comp1730,0.8857
comp3430,comp2100,0.9007
comp3430,comp2120,0.8926
comp3430,comp2310,0.8822
comp3430,comp2400,0.8888
comp3430,comp2410,0.8951
comp3430,comp2420,0.9028
comp3430,comp2550,0.8904
comp3430,comp2560,0.8703
comp3430,comp2610,0.8849
comp3430,comp2620,0.8712
comp3430,comp2700,0.8932
comp3430,comp3120,0.8813
comp3430,comp3300,0.8844
comp3430,comp3310,0.9048
comp3430,comp3320,0.8867
comp3430,comp3425,0.9021
comp3430,comp3430,0.92
comp3430,comp3530,0.8815
comp3430,comp3600,0.8941
comp3430,comp3620,0.8834
comp3430,comp3701,0.899
comp3430,comp3703,0.8871
comp3430,comp3704,0.8796
comp3430,comp3900,0.8982
comp3430,comp4300,0.8892
comp3430,comp4330,0.8945
comp3430,comp4610,0.8862
comp3430,comp4620,0.8834
comp3430,comp4670,0.8759
comp3430,comp4691,0.8807
comp3530,comp1100,0.871
comp3530,comp1110,0.8773
comp3530,comp1600,0.8356
comp3530,comp1710,0.883
comp3530,comp1730,0.8817
comp3530,comp2100,0.8785
comp3530,comp2120,0.8879
comp3530,comp2310,0.8689
comp3530,comp2400,0.8609
comp3530,comp2410,0.8789
comp3530,comp2420,0.8711
comp3530,comp2550,0.8825
comp3530,comp2560,0.8747
comp3530,comp2610,0.8618
comp3530,comp2620,0.8543
comp3530,comp2700,0.8814
comp3530,comp3120,0.8812
comp3530,comp3300,0.8738
comp3530,comp3310,0.8782
comp3530,comp3320,0.8812
comp3530,comp3425,0.8836
comp3530,comp3430,0.8815
comp3530,comp3530,0.92
comp3530,comp3600,0.8771
comp3530,comp3620,0.8736
comp3530,comp3701,0.888
comp3530,comp3703,0.8717
comp3530,comp3704,0.8684
comp3530,comp3900,0.8914
comp3530,comp4300,0.8756
comp3530,comp4330,0.8819
comp3530,comp4610,0.8762
comp3530,comp4620,0.8728
comp3530,comp4670,0.86
comp3530,comp4691,0.8676
comp3600,comp1100,0.9031
comp3600,comp1110,0.9081
comp3600,comp1600,0.8926
comp3600,comp1710,0.8874
comp3600,comp1730,0.9053
comp3600,comp2100,0.9093
comp3600,comp2120,0.8901
comp3600,comp2310,0.8981
comp3600,comp2400,0.8946
comp3600,comp2410,0.8871
comp3600,comp2420,0.8964
comp3600,comp2550,0.8857
comp3600,comp2560,0.8754
comp3600,comp2610,0.8977
comp3600,comp2620,0.8922
comp3600,comp2700,0.8863
comp3600,comp3120,0.8681
comp3600,comp3300,0.8975
comp3600,comp3310,0.8989
comp3600,comp3320,0.9075
comp3600,comp3425,0.9006
comp3600,comp3430,0.8941
comp3600,comp3530,0.8771
comp3600,comp3600,0.92
comp3600,comp3620,0.9043
comp3600,comp3701,0.8909
comp3600,comp3703,0.8951
comp3600,comp3704,0.8828
comp3600,comp3900,0.8885
comp3600,comp4300,0.9107
comp3600,comp4330,0.901
comp3600,comp4610,0.9013
comp3600,comp4620,0.8863
comp3600,comp4670,0.8966
comp3600,comp4691,0.9171
comp3620,comp1100,0.8883
comp3620,comp1110,0.8944
comp3620,comp1600,0.8789
comp3620,comp1710,0.8862
comp3620,comp1730,0.8916
comp3620,comp2100,0.8953
comp3620,comp2120,0.8871
comp3620,comp2310,0.8816
comp3620,comp2400,0.8783
comp3620,comp2410,0.883
comp3620,comp2420,0.8853
comp3620,comp2550,0.8882
comp3620,comp2560,0.8802
comp3620,comp2610,0.8822
comp3620,comp2620,0.8818
comp3620,comp2700,0.8817
comp3620,comp3120,0.8653
comp3620,comp3300,0.8844
comp3620,comp3310,0.888
comp3620,comp3320,0.8948
comp3620,comp3425,0.8934
comp3620,comp3430,0.8834
comp3620,comp3530,0.8736
comp3620,comp3600,0.9043
comp3620,comp3620,0.92
comp3620,comp3701,0.8884
comp3620,comp3703,0.8821
comp3620,comp3704,0.8743
comp3620,comp3900,0.8924
comp3620,comp4300,0.8931
comp3620,comp4330,0.8883
comp3620,comp4610,0.8895
comp3620,comp4620,0.8942
comp3620,comp4670,0.888
comp3620,comp4691,0.899
comp3701,comp1100,0.884
comp3701,comp1110,0.8928
comp3701,comp1600,0.8492
comp3701,comp1710,0.898
comp3701,comp1730,0.8903
comp3701,comp2100,0.8974
comp3701,comp2120,0.8966
comp3701,comp2310,0.8855
comp3701,comp2400,0.8727
comp3701,comp2410,0.8999
comp3701,comp2420,0.889
comp3701,comp2550,0.8943
comp3701,comp2560,0.8831
comp3701,comp2610,0.8763
comp3701,comp2620,0.8669
comp3701,comp2700,0.9174
comp3701,comp3120,0.8904
comp3701,comp3300,0.889
comp3701,comp3310,0.9023
comp3701,comp3320,0.891
comp3701,comp3425,0.9007
comp3701,comp3430,0.899
comp3701,comp3530,0.888
comp3701,comp3600,0.8909
comp3701,comp3620,0.8884
comp3701,comp3701,0.92
comp3701,comp3703,0.9035
comp3701,comp3704,0.9051
comp3701,comp3900,0.8982
comp3701,comp4300,0.8926
comp3701,comp4330,0.8999
comp3701,comp4610,0.8864
comp3701,comp4620,0.8872
comp3701,comp4670,0.8743
comp3701,comp4691,0.8892
comp3703,comp1100,0.888
comp3703,comp1110,0.896
comp3703,comp1600,0.8604
comp3703,comp1710,0.8871
comp3703,comp1730,0.8902
comp3703,comp2100,0.9032
comp3703,comp2120,0.8903
comp3703,comp2310,0.8886
comp3703,comp2400,0.8815
comp3703,comp2410,0.8841
comp3703,comp2420,0.8858
comp3703,comp2550,0.8769
comp3703,comp2560,0.862
comp3703,comp2610,0.8684
comp3703,comp2620,0.8601
comp3703,comp2700,0.8978
comp3703,comp3120,0.8696
comp3703,comp3300,0.8924
comp3703,comp3310,0.8939
comp3703,comp3320,0.8907
comp3703,comp3425,0.8871
comp3703,comp3430,0.8871
comp3703,comp3530,0.8717
comp3703,comp3600,0.8951
comp3703,comp3620,0.8821
comp3703,comp3701,0.9035
comp3703,comp3703,0.92
comp3703,comp3704,0.9027
comp3703,comp3900,0.8844
