s1,s2,score
comp1710,comp2100,0.9299
comp1710,comp2120,0.9266
comp1710,comp2310,0.9028
comp1710,comp2400,0.9097
comp1710,comp2410,0.9180
comp1710,comp2420,0.9165
comp1710,comp2550,0.9238
comp1710,comp2560,0.9087
comp1710,comp2610,0.8981
comp1710,comp2620,0.8931
comp1710,comp2700,0.9239
comp1710,comp3120,0.9087
comp1710,comp3300,0.9109
comp1710,comp3310,0.9255
comp1710,comp3320,0.9193
comp1710,comp3425,0.9227
comp1710,comp3430,0.9247
comp1710,comp3530,0.9089
comp1710,comp3600,0.9140
comp1710,comp3620,0.9124
comp1710,comp3701,0.9249
comp1710,comp3702,0.9266
comp1710,comp3704,0.9107
comp1710,comp3900,0.9338
comp1710,comp4300,0.9170
comp1710,comp4330,0.9132
comp1710,comp4610,0.9182
comp1710,comp4620,0.9141
comp1710,comp4670,0.8955
comp1710,comp4691,0.9094
comp1730,comp2100,0.9274
comp1730,comp2120,0.9150
comp1730,comp2310,0.9194
comp1730,comp2400,0.9139
comp1730,comp2410,0.9033
comp1730,comp2420,0.9140
comp1730,comp2550,0.9229
comp1730,comp2560,0.9208
comp1730,comp2610,0.9139
comp1730,comp2620,0.9079
comp1730,comp2700,0.9131
comp1730,comp3120,0.9048
comp1730,comp3300,0.9207
comp1730,comp3310,0.9108
comp1730,comp3320,0.9343
comp1730,comp3425,0.9232
comp1730,comp3430,0.9091
comp1730,comp3530,0.9088
comp1730,comp3600,0.9323
comp1730,comp3620,0.9178
comp1730,comp3701,0.9137
comp1730,comp3702,0.9154
comp1730,comp3704,0.8996
comp1730,comp3900,0.9147
comp1730,comp4300,0.9340
comp1730,comp4330,0.9246
comp1730,comp4610,0.9240
comp1730,comp4620,0.9190
comp1730,comp4670,0.9070
comp1730,comp4691,0.9207
comp2100,comp2120,0.9292
comp2100,comp2310,0.9254
comp2100,comp2400,0.9180
comp2100,comp2410,0.9143
comp2100,comp2420,0.9217
comp2100,comp2550,0.9226
comp2100,comp2560,0.9130
comp2100,comp2610,0.9177
comp2100,comp2620,0.9131
comp2100,comp2700,0.9240
comp2100,comp3120,0.9141
comp2100,comp3300,0.9243
comp2100,comp3310,0.9258
comp2100,comp3320,0.9275
comp2100,comp3425,0.9206
comp2100,comp3430,0.9243
comp2100,comp3530,0.9145
comp2100,comp3600,0.9374
comp2100,comp3620,0.9198
comp2100,comp3701,0.9230
comp2100,comp3702,0.9275
comp2100,comp3704,0.9130
comp2100,comp3900,0.9326
comp2100,comp4300,0.9330
comp2100,comp4330,0.9282
comp2100,comp4610,0.9245
comp2100,comp4620,0.9195
comp2100,comp4670,0.9140
comp2100,comp4691,0.9249
comp2120,comp2310,0.9085
comp2120,comp2400,0.9045
comp2120,comp2410,0.9217
comp2120,comp2420,0.9087
comp2120,comp2550,0.9280
comp2120,comp2560,0.9142
comp2120,comp2610,0.8861
comp2120,comp2620,0.8846
comp2120,comp2700,0.9129
comp2120,comp3120,0.9110
comp2120,comp3300,0.9119
comp2120,comp3310,0.9138
comp2120,comp3320,0.9197
comp2120,comp3425,0.9179
comp2120,comp3430,0.9226
comp2120,comp3530,0.9186
comp2120,comp3600,0.9164
comp2120,comp3620,0.9125
comp2120,comp3701,0.9176
comp2120,comp3702,0.9246
comp2120,comp3704,0.9021
comp2120,comp3900,0.9319
comp2120,comp4300,0.9113
comp2120,comp4330,0.9144
comp2120,comp4610,0.9118
comp2120,comp4620,0.9241
comp2120,comp4670,0.8956
comp2120,comp4691,0.9061
comp2310,comp2400,0.9176
comp2310,comp2410,0.9171
comp2310,comp2420,0.9171
comp2310,comp2550,0.9029
comp2310,comp2560,0.8998
comp2310,comp2610,0.9116
comp2310,comp2620,0.9041
comp2310,comp2700,0.9150
comp2310,comp3120,0.8940
comp2310,comp3300,0.9265
comp2310,comp3310,0.9373
comp2310,comp3320,0.9254
comp2310,comp3425,0.9152
comp2310,comp3430,0.9195
comp2310,comp3530,0.9001
comp2310,comp3600,0.9342
comp2310,comp3620,0.9214
comp2310,comp3701,0.9193
comp2310,comp3702,0.9219
comp2310,comp3704,0.9141
comp2310,comp3900,0.9141
comp2310,comp4300,0.9319
comp2310,comp4330,0.9274
comp2310,comp4610,0.9195
comp2310,comp4620,0.9077
comp2310,comp4670,0.9067
comp2310,comp4691,0.9242
comp2400,comp2410,0.9067
comp2400,comp2420,0.9217
comp2400,comp2550,0.9000
comp2400,comp2560,0.9034
comp2400,comp2610,0.9053
comp2400,comp2620,0.9112
comp2400,comp2700,0.9087
comp2400,comp3120,0.8891
comp2400,comp3300,0.9222
comp2400,comp3310,0.9232
comp2400,comp3320,0.9179
comp2400,comp3425,0.9099
comp2400,comp3430,0.9156
comp2400,comp3530,0.8915
comp2400,comp3600,0.9255
comp2400,comp3620,0.9113
comp2400,comp3701,0.9072
comp2400,comp3702,0.9111
comp2400,comp3704,0.8982
comp2400,comp3900,0.9058
comp2400,comp4300,0.9238
comp2400,comp4330,0.9124
comp2400,comp4610,0.9142
comp2400,comp4620,0.9087
comp2400,comp4670,0.9074
comp2400,comp4691,0.9133
comp2410,comp2420,0.9167
comp2410,comp2550,0.9147
comp2410,comp2560,0.9025
comp2410,comp2610,0.9046
comp2410,comp2620,0.8891
comp2410,comp2700,0.9217
comp2410,comp3120,0.9026
comp2410,comp3300,0.9147
comp2410,comp3310,0.9412
comp2410,comp3320,0.9177
comp2410,comp3425,0.9170
comp2410,comp3430,0.9218
comp2410,comp3530,0.9085
comp2410,comp3600,0.9160
comp2410,comp3620,0.9083
comp2410,comp3701,0.9301
comp2410,comp3702,0.9325
comp2410,comp3704,0.9178
comp2410,comp3900,0.9287
comp2410,comp4300,0.9212
comp2410,comp4330,0.9210
comp2410,comp4610,0.9172
comp2410,comp4620,0.9175
comp2410,comp4670,0.8998
comp2410,comp4691,0.9041
comp2420,comp2550,0.9247
comp2420,comp2560,0.9067
comp2420,comp2610,0.9182
comp2420,comp2620,0.9105
comp2420,comp2700,0.9204
comp2420,comp3120,0.9090
comp2420,comp3300,0.9121
comp2420,comp3310,0.9198
comp2420,comp3320,0.9180
comp2420,comp3425,0.9320
comp2420,comp3430,0.9335
comp2420,comp3530,0.9035
comp2420,comp3600,0.9271
comp2420,comp3620,0.9244
comp2420,comp3701,0.9236
comp2420,comp3702,0.9280
comp2420,comp3704,0.9098
comp2420,comp3900,0.9210
comp2420,comp4300,0.9207
comp2420,comp4330,0.9191
comp2420,comp4610,0.9135
comp2420,comp4620,0.9214
comp2420,comp4670,0.9196
comp2420,comp4691,0.9277
comp2550,comp2560,0.9354
comp2550,comp2610,0.9017
comp2550,comp2620,0.9026
comp2550,comp2700,0.9123
comp2550,comp3120,0.9119
comp2550,comp3300,0.9033
comp2550,comp3310,0.9088
comp2550,comp3320,0.9162
comp2550,comp3425,0.9249
comp2550,comp3430,0.9135
comp2550,comp3530,0.9110
comp2550,comp3600,0.9258
comp2550,comp3620,0.9273
comp2550,comp3701,0.9209
comp2550,comp3702,0.9162
comp2550,comp3704,0.9018
comp2550,comp3900,0.9260
comp2550,comp4300,0.9088
comp2550,comp4330,0.9091
comp2550,comp4610,0.9074
comp2550,comp4620,0.9270
comp2550,comp4670,0.9155
comp2550,comp4691,0.9167
comp2560,comp2610,0.8889
comp2560,comp2620,0.8928
comp2560,comp2700,0.9120
comp2560,comp3120,0.9008
comp2560,comp3300,0.8995
comp2560,comp3310,0.8983
comp2560,comp3320,0.9108
comp2560,comp3425,0.9169
comp2560,comp3430,0.8989
comp2560,comp3530,0.9035
comp2560,comp3600,0.9054
comp2560,comp3620,0.9052
comp2560,comp3701,0.9125
comp2560,comp3702,0.9098
comp2560,comp3704,0.8846
comp2560,comp3900,0.9166
comp2560,comp4300,0.9035
comp2560,comp4330,0.8956
comp2560,comp4610,0.9024
comp2560,comp4620,0.9185
comp2560,comp4670,0.8893
comp2560,comp4691,0.8934
comp2610,comp2620,0.9198
comp2610,comp2700,0.9118
comp2610,comp3120,0.8910
comp2610,comp3300,0.9012
comp2610,comp3310,0.9141
comp2610,comp3320,0.9046
comp2610,comp3425,0.9113
comp2610,comp3430,0.9153
comp2610,comp3530,0.8895
comp2610,comp3600,0.9253
comp2610,comp3620,0.9119
comp2610,comp3701,0.9080
comp2610,comp3702,0.9055
comp2610,comp3704,0.9009
comp2610,comp3900,0.9051
comp2610,comp4300,0.9058
comp2610,comp4330,0.9120
comp2610,comp4610,0.9074
comp2610,comp4620,0.9002
comp2610,comp4670,0.9170
comp2610,comp4691,0.9159
comp2620,comp2700,0.9005
comp2620,comp3120,0.8781
comp2620,comp3300,0.8823
comp2620,comp3310,0.8909
comp2620,comp3320,0.8934
comp2620,comp3425,0.9080
comp2620,comp3430,0.8983
comp2620,comp3530,0.8756
comp2620,comp3600,0.9078
comp2620,comp3620,0.9014
comp2620,comp3701,0.8988
comp2620,comp3702,0.8968
comp2620,comp3704,0.8749
comp2620,comp3900,0.9006
comp2620,comp4300,0.8998
comp2620,comp4330,0.8978
comp2620,comp4610,0.8897
comp2620,comp4620,0.8988
comp2620,comp4670,0.9001
comp2620,comp4691,0.9089
comp2700,comp3120,0.9045
comp2700,comp3300,0.9012
comp2700,comp3310,0.9109
comp2700,comp3320,0.9056
comp2700,comp3425,0.9132
comp2700,comp3430,0.9146
comp2700,comp3530,0.9071
comp2700,comp3600,0.9045
comp2700,comp3620,0.8997
comp2700,comp3701,0.9493
comp2700,comp3702,0.9467
comp2700,comp3704,0.9217
comp2700,comp3900,0.9144
comp2700,comp4300,0.9011
comp2700,comp4330,0.9123
comp2700,comp4610,0.9013
comp2700,comp4620,0.9170
comp2700,comp4670,0.8952
comp2700,comp4691,0.8983
comp3120,comp3300,0.9089
comp3120,comp3310,0.9092
comp3120,comp3320,0.9131
comp3120,comp3425,0.9213
comp3120,comp3430,0.9154
comp3120,comp3530,0.9173
comp3120,comp3600,0.9079
comp3120,comp3620,0.9110
comp3120,comp3701,0.9233
comp3120,comp3702,0.9240
comp3120,comp3704,0.9030
comp3120,comp3900,0.9308
comp3120,comp4300,0.9062
comp3120,comp4330,0.9069
comp3120,comp4610,0.9015
comp3120,comp4620,0.9227
comp3120,comp4670,0.8958
comp3120,comp4691,0.9062
comp3300,comp3310,0.9237
comp3300,comp3320,0.9231
comp3300,comp3425,0.9126
comp3300,comp3430,0.9066
comp3300,comp3530,0.9030
comp3300,comp3600,0.9180
comp3300,comp3620,0.9046
comp3300,comp3701,0.9138
comp3300,comp3702,0.9134
comp3300,comp3704,0.9061
comp3300,comp3900,0.9090
comp3300,comp4300,0.9339
comp3300,comp4330,0.9146
comp3300,comp4610,0.9073
comp3300,comp4620,0.8947
comp3300,comp4670,0.8948
comp3300,comp4691,0.9080
comp3310,comp3320,0.9223
comp3310,comp3425,0.9255
comp3310,comp3430,0.9265
comp3310,comp3530,0.9041
comp3310,comp3600,0.9303
comp3310,comp3620,0.9180
comp3310,comp3701,0.9279
comp3310,comp3702,0.9321
comp3310,comp3704,0.9251
comp3310,comp3900,0.9243
comp3310,comp4300,0.9301
comp3310,comp4330,0.9265
comp3310,comp4610,0.9150
comp3310,comp4620,0.9103
comp3310,comp4670,0.9022
comp3310,comp4691,0.9182
comp3320,comp3425,0.9212
comp3320,comp3430,0.9096
comp3320,comp3530,0.9063
comp3320,comp3600,0.9344
comp3320,comp3620,0.9158
comp3320,comp3701,0.9140
comp3320,comp3702,0.9212
comp3320,comp3704,0.9081
comp3320,comp3900,0.9155
comp3320,comp4300,0.9363
comp3320,comp4330,0.9222
comp3320,comp4610,0.9220
comp3320,comp4620,0.9137
comp3320,comp4670,0.9105
comp3320,comp4691,0.9236
comp3425,comp3430,0.9261
comp3425,comp3530,0.9071
comp3425,comp3600,0.9281
comp3425,comp3620,0.9248
comp3425,comp3701,0.9242
comp3425,comp3702,0.9178
comp3425,comp3704,0.9136
comp3425,comp3900,0.9262
comp3425,comp4300,0.9175
comp3425,comp4330,0.9165
comp3425,comp4610,0.9131
comp3425,comp4620,0.9147
comp3425,comp4670,0.9169
comp3425,comp4691,0.9234
comp3430,comp3530,0.9049
comp3430,comp3600,0.9196
comp3430,comp3620,0.9132
comp3430,comp3701,0.9186
comp3430,comp3702,0.9207
comp3430,comp3704,0.9020
comp3430,comp3900,0.9282
comp3430,comp4300,0.9111
comp3430,comp4330,0.9155
comp3430,comp4610,0.9112
comp3430,comp4620,0.9165
comp3430,comp4670,0.8994
comp3430,comp4691,0.9052
comp3530,comp3600,0.9117
comp3530,comp3620,0.9119
comp3530,comp3701,0.9185
comp3530,comp3702,0.9173
comp3530,comp3704,0.9101
comp3530,comp3900,0.9252
comp3530,comp4300,0.9083
comp3530,comp4330,0.9173
comp3530,comp4610,0.9083
comp3530,comp4620,0.9087
comp3530,comp4670,0.8962
comp3530,comp4691,0.8992
comp3600,comp3620,0.9224
comp3600,comp3701,0.9101
comp3600,comp3702,0.9140
comp3600,comp3704,0.9029
comp3600,comp3900,0.9076
comp3600,comp4300,0.9273
comp3600,comp4330,0.9215
comp3600,comp4610,0.9181
comp3600,comp4620,0.9012
comp3600,comp4670,0.9180
comp3600,comp4691,0.9339
comp3620,comp3701,0.9128
comp3620,comp3702,0.9163
comp3620,comp3704,0.9040
comp3620,comp3900,0.9266
comp3620,comp4300,0.9172
comp3620,comp4330,0.9164
comp3620,comp4610,0.9171
comp3620,comp4620,0.9272
comp3620,comp4670,0.9184
comp3620,comp4691,0.9221
comp3701,comp3702,0.9581
comp3701,comp3704,0.9251
comp3701,comp3900,0.9158
comp3701,comp4300,0.9140
comp3701,comp4330,0.9192
comp3701,comp4610,0.9070
comp3701,comp4620,0.9121
comp3701,comp4670,0.8907
comp3701,comp4691,0.9060
comp3702,comp3704,0.9277
comp3702,comp3900,0.9128
comp3702,comp4300,0.9166
comp3702,comp4330,0.9173
comp3702,comp4610,0.9098
comp3702,comp4620,0.9144
comp3702,comp4670,0.8941
comp3702,comp4691,0.9088
comp3704,comp3900,0.9120
comp3704,comp4300,0.9060
comp3704,comp4330,0.9108
comp3704,comp4610,0.9017
comp3704,comp4620,0.9034
comp3704,comp4670,0.8970
comp3704,comp4691,0.9030
comp3900,comp4300,0.9004
comp3900,comp4330,0.9031
comp3900,comp4610,0.9104
comp3900,comp4620,0.9156
comp3900,comp4670,0.8927
comp3900,comp4691,0.8995
comp4300,comp4330,0.9185
comp4300,comp4610,0.9158
comp4300,comp4620,0.9012
comp4300,comp4670,0.9041
comp4300,comp4691,0.9184
comp4330,comp4610,0.9275
comp4330,comp4620,0.9089
comp4330,comp4670,0.9153
comp4330,comp4691,0.9246
comp4610,comp4620,0.9173
comp4610,comp4670,0.9046
comp4610,comp4691,0.9162
comp4620,comp4670,0.8996
comp4620,comp4691,0.9036
comp4670,comp4691,0.9232
