Similarity,comp1100,comp1110
0.8943,"Students will extend their understanding of software productivity tools, using revision control for group work, and be introduced to test-driven development as an integral part of software construction.",This course is the first of three core computer science courses on programming.
0.8967,"Students will extend their understanding of software productivity tools, using revision control for group work, and be introduced to test-driven development as an integral part of software construction.",These include distributed software revision control systems.
0.8986,"Students will extend their understanding of software productivity tools, using revision control for group work, and be introduced to test-driven development as an integral part of software construction.",Understand the legal context for protection of software as intellectual property.
0.9001,"Students will extend their understanding of software productivity tools, using revision control for group work, and be introduced to test-driven development as an integral part of software construction.","Discuss basic algorithmic analysis for simple algorithms; determine appropriate algorithmic approaches to a problem (brute-force, greedy, divide-and-conquer, recursive backtracking, heuristic, dynamic programming)."
0.9060,"Students will extend their understanding of software productivity tools, using revision control for group work, and be introduced to test-driven development as an integral part of software construction.","Students learn the basic ingredients of imperative programs: mutable variables, sequencing, conditionals, iteration, functions, eager evaluation, and side effects."
0.9065,"Students will extend their understanding of software productivity tools, using revision control for group work, and be introduced to test-driven development as an integral part of software construction.","Discuss, use, and apply the fundamentals of data structures, algorithms, and design; create, implement, and debug algorithms for solving simple problems, including recursively, using divide-and-conquer, and via decomposition."
0.9082,"Students will extend their understanding of software productivity tools, using revision control for group work, and be introduced to test-driven development as an integral part of software construction.",The functional paradigm demonstrates elegant solutions to many programming problems.
0.9090,"Students will extend their understanding of software productivity tools, using revision control for group work, and be introduced to test-driven development as an integral part of software construction.",Understand basic types and the benefits of static typing.
0.9096,"Students will extend their understanding of software productivity tools, using revision control for group work, and be introduced to test-driven development as an integral part of software construction.","Students learn the organization of programming languages using types, how programs are evaluated (reduction), functional composition, recursive functions, algebraic data types, pattern matching, parametric polymorphism, higher-order functions."
0.9123,"Students will extend their understanding of software productivity tools, using revision control for group work, and be introduced to test-driven development as an integral part of software construction.","Data structures and algorithms, the key concepts at the core of computer science, receive their first treatment in this course. The course addresses both functional and imperative programming paradigms."
0.9136,"Students will extend their understanding of software productivity tools, using revision control for group work, and be introduced to test-driven development as an integral part of software construction.","Apply fundamental programming concepts, using a functional programming language, to solve simple problems."
0.9230,"Students will extend their understanding of software productivity tools, using revision control for group work, and be introduced to test-driven development as an integral part of software construction.",Describe and apply alternative computational paradigms to simple problems.
0.9267,"Students will extend their understanding of software productivity tools, using revision control for group work, and be introduced to test-driven development as an integral part of software construction.","The course covers functional programming in depth, developing the core idea of functions operating on data structures."
0.9281,"Students will extend their understanding of software productivity tools, using revision control for group work, and be introduced to test-driven development as an integral part of software construction.","The Advanced version of this course covers these topics in more depth, allowing students to deepen their understanding and experience."
0.9284,"Students will extend their understanding of software productivity tools, using revision control for group work, and be introduced to test-driven development as an integral part of software construction.","Students also gain exposure to structural induction and proof, introduction to asymptotic analysis of basic data structures, abstract data types, modules, laziness, and streams."
0.9285,"Students will extend their understanding of software productivity tools, using revision control for group work, and be introduced to test-driven development as an integral part of software construction.","Describe, understand and evolve programs, via documentation, testing, and debugging."
0.9317,"Students will extend their understanding of software productivity tools, using revision control for group work, and be introduced to test-driven development as an integral part of software construction.","The course also introduces imperative programming as an alternative paradigm to functional programming, highlighting similarities and contrasting differences."
0.9434,"Students will extend their understanding of software productivity tools, using revision control for group work, and be introduced to test-driven development as an integral part of software construction.",It introduces students to the field of computer science as a discipline for solving problems through computation and provides the foundation for more advanced courses on programming and software development.
0.9523,"Students will extend their understanding of software productivity tools, using revision control for group work, and be introduced to test-driven development as an integral part of software construction.",The course also introduces students to standard productivity tools for software development that will be used throughout the course and remainder of the computer science degree.
0.8488,"Students will be introduced to an industrial strength object oriented programming language, extending their understanding of the imperative programming paradigm with a solid grounding in object oriented programming.",These include distributed software revision control systems.
0.8760,"Students will be introduced to an industrial strength object oriented programming language, extending their understanding of the imperative programming paradigm with a solid grounding in object oriented programming.",Understand the legal context for protection of software as intellectual property.
0.8770,"Students will be introduced to an industrial strength object oriented programming language, extending their understanding of the imperative programming paradigm with a solid grounding in object oriented programming.","Discuss basic algorithmic analysis for simple algorithms; determine appropriate algorithmic approaches to a problem (brute-force, greedy, divide-and-conquer, recursive backtracking, heuristic, dynamic programming)."
0.8802,"Students will be introduced to an industrial strength object oriented programming language, extending their understanding of the imperative programming paradigm with a solid grounding in object oriented programming.","Distinguish language definition from implementation, syntax and parsing from semantics and evaluation."
0.8809,"Students will be introduced to an industrial strength object oriented programming language, extending their understanding of the imperative programming paradigm with a solid grounding in object oriented programming.","Students learn the basic ingredients of imperative programs: mutable variables, sequencing, conditionals, iteration, functions, eager evaluation, and side effects."
0.8809,"Students will be introduced to an industrial strength object oriented programming language, extending their understanding of the imperative programming paradigm with a solid grounding in object oriented programming.","Discuss, use, and apply the fundamentals of data structures, algorithms, and design; create, implement, and debug algorithms for solving simple problems, including recursively, using divide-and-conquer, and via decomposition."
0.8918,"Students will be introduced to an industrial strength object oriented programming language, extending their understanding of the imperative programming paradigm with a solid grounding in object oriented programming.","Describe, understand and evolve programs, via documentation, testing, and debugging."
0.8922,"Students will be introduced to an industrial strength object oriented programming language, extending their understanding of the imperative programming paradigm with a solid grounding in object oriented programming.",This course is the first of three core computer science courses on programming.
0.8925,"Students will be introduced to an industrial strength object oriented programming language, extending their understanding of the imperative programming paradigm with a solid grounding in object oriented programming.",Understand basic types and the benefits of static typing.
0.8987,"Students will be introduced to an industrial strength object oriented programming language, extending their understanding of the imperative programming paradigm with a solid grounding in object oriented programming.","Students learn the organization of programming languages using types, how programs are evaluated (reduction), functional composition, recursive functions, algebraic data types, pattern matching, parametric polymorphism, higher-order functions."
0.9029,"Students will be introduced to an industrial strength object oriented programming language, extending their understanding of the imperative programming paradigm with a solid grounding in object oriented programming.","Students also gain exposure to structural induction and proof, introduction to asymptotic analysis of basic data structures, abstract data types, modules, laziness, and streams."
0.9040,"Students will be introduced to an industrial strength object oriented programming language, extending their understanding of the imperative programming paradigm with a solid grounding in object oriented programming.",Describe and apply alternative computational paradigms to simple problems.
0.9088,"Students will be introduced to an industrial strength object oriented programming language, extending their understanding of the imperative programming paradigm with a solid grounding in object oriented programming.","The Advanced version of this course covers these topics in more depth, allowing students to deepen their understanding and experience."
0.9101,"Students will be introduced to an industrial strength object oriented programming language, extending their understanding of the imperative programming paradigm with a solid grounding in object oriented programming.",The functional paradigm demonstrates elegant solutions to many programming problems.
0.9263,"Students will be introduced to an industrial strength object oriented programming language, extending their understanding of the imperative programming paradigm with a solid grounding in object oriented programming.",The course also introduces students to standard productivity tools for software development that will be used throughout the course and remainder of the computer science degree.
0.9263,"Students will be introduced to an industrial strength object oriented programming language, extending their understanding of the imperative programming paradigm with a solid grounding in object oriented programming.","Apply fundamental programming concepts, using a functional programming language, to solve simple problems."
0.9266,"Students will be introduced to an industrial strength object oriented programming language, extending their understanding of the imperative programming paradigm with a solid grounding in object oriented programming.","Data structures and algorithms, the key concepts at the core of computer science, receive their first treatment in this course. The course addresses both functional and imperative programming paradigms."
0.9300,"Students will be introduced to an industrial strength object oriented programming language, extending their understanding of the imperative programming paradigm with a solid grounding in object oriented programming.","The course covers functional programming in depth, developing the core idea of functions operating on data structures."
0.9326,"Students will be introduced to an industrial strength object oriented programming language, extending their understanding of the imperative programming paradigm with a solid grounding in object oriented programming.",It introduces students to the field of computer science as a discipline for solving problems through computation and provides the foundation for more advanced courses on programming and software development.
0.9361,"Students will be introduced to an industrial strength object oriented programming language, extending their understanding of the imperative programming paradigm with a solid grounding in object oriented programming.","The course also introduces imperative programming as an alternative paradigm to functional programming, highlighting similarities and contrasting differences."
0.8563,"Inheritance, polymorphism, and parametric types are taught, as well as concepts such as boxing and auto boxing.",These include distributed software revision control systems.
0.8654,"Inheritance, polymorphism, and parametric types are taught, as well as concepts such as boxing and auto boxing.",Understand the legal context for protection of software as intellectual property.
0.8683,"Inheritance, polymorphism, and parametric types are taught, as well as concepts such as boxing and auto boxing.",This course is the first of three core computer science courses on programming.
0.8736,"Inheritance, polymorphism, and parametric types are taught, as well as concepts such as boxing and auto boxing.","Distinguish language definition from implementation, syntax and parsing from semantics and evaluation."
0.8773,"Inheritance, polymorphism, and parametric types are taught, as well as concepts such as boxing and auto boxing.","The Advanced version of this course covers these topics in more depth, allowing students to deepen their understanding and experience."
0.8823,"Inheritance, polymorphism, and parametric types are taught, as well as concepts such as boxing and auto boxing.","Describe, understand and evolve programs, via documentation, testing, and debugging."
0.8839,"Inheritance, polymorphism, and parametric types are taught, as well as concepts such as boxing and auto boxing.",The course also introduces students to standard productivity tools for software development that will be used throughout the course and remainder of the computer science degree.
0.8842,"Inheritance, polymorphism, and parametric types are taught, as well as concepts such as boxing and auto boxing.",It introduces students to the field of computer science as a discipline for solving problems through computation and provides the foundation for more advanced courses on programming and software development.
0.8842,"Inheritance, polymorphism, and parametric types are taught, as well as concepts such as boxing and auto boxing.","Data structures and algorithms, the key concepts at the core of computer science, receive their first treatment in this course. The course addresses both functional and imperative programming paradigms."
0.8927,"Inheritance, polymorphism, and parametric types are taught, as well as concepts such as boxing and auto boxing.","Apply fundamental programming concepts, using a functional programming language, to solve simple problems."
0.9047,"Inheritance, polymorphism, and parametric types are taught, as well as concepts such as boxing and auto boxing.",The functional paradigm demonstrates elegant solutions to many programming problems.
0.9064,"Inheritance, polymorphism, and parametric types are taught, as well as concepts such as boxing and auto boxing.","Discuss, use, and apply the fundamentals of data structures, algorithms, and design; create, implement, and debug algorithms for solving simple problems, including recursively, using divide-and-conquer, and via decomposition."
0.9079,"Inheritance, polymorphism, and parametric types are taught, as well as concepts such as boxing and auto boxing.","Discuss basic algorithmic analysis for simple algorithms; determine appropriate algorithmic approaches to a problem (brute-force, greedy, divide-and-conquer, recursive backtracking, heuristic, dynamic programming)."
0.9090,"Inheritance, polymorphism, and parametric types are taught, as well as concepts such as boxing and auto boxing.","The course also introduces imperative programming as an alternative paradigm to functional programming, highlighting similarities and contrasting differences."
0.9103,"Inheritance, polymorphism, and parametric types are taught, as well as concepts such as boxing and auto boxing.",Understand basic types and the benefits of static typing.
0.9105,"Inheritance, polymorphism, and parametric types are taught, as well as concepts such as boxing and auto boxing.","The course covers functional programming in depth, developing the core idea of functions operating on data structures."
0.9128,"Inheritance, polymorphism, and parametric types are taught, as well as concepts such as boxing and auto boxing.","Students learn the basic ingredients of imperative programs: mutable variables, sequencing, conditionals, iteration, functions, eager evaluation, and side effects."
0.9132,"Inheritance, polymorphism, and parametric types are taught, as well as concepts such as boxing and auto boxing.",Describe and apply alternative computational paradigms to simple problems.
0.9182,"Inheritance, polymorphism, and parametric types are taught, as well as concepts such as boxing and auto boxing.","Students learn the organization of programming languages using types, how programs are evaluated (reduction), functional composition, recursive functions, algebraic data types, pattern matching, parametric polymorphism, higher-order functions."
0.9426,"Inheritance, polymorphism, and parametric types are taught, as well as concepts such as boxing and auto boxing.","Students also gain exposure to structural induction and proof, introduction to asymptotic analysis of basic data structures, abstract data types, modules, laziness, and streams."
0.8705,The important role of standard libraries and their collection types will be emphasized.  GUI programming will be introduced.,"The Advanced version of this course covers these topics in more depth, allowing students to deepen their understanding and experience."
0.8730,The important role of standard libraries and their collection types will be emphasized.  GUI programming will be introduced.,This course is the first of three core computer science courses on programming.
0.8773,The important role of standard libraries and their collection types will be emphasized.  GUI programming will be introduced.,These include distributed software revision control systems.
0.8786,The important role of standard libraries and their collection types will be emphasized.  GUI programming will be introduced.,"Discuss basic algorithmic analysis for simple algorithms; determine appropriate algorithmic approaches to a problem (brute-force, greedy, divide-and-conquer, recursive backtracking, heuristic, dynamic programming)."
0.8831,The important role of standard libraries and their collection types will be emphasized.  GUI programming will be introduced.,"Discuss, use, and apply the fundamentals of data structures, algorithms, and design; create, implement, and debug algorithms for solving simple problems, including recursively, using divide-and-conquer, and via decomposition."
0.8849,The important role of standard libraries and their collection types will be emphasized.  GUI programming will be introduced.,"Distinguish language definition from implementation, syntax and parsing from semantics and evaluation."
0.8854,The important role of standard libraries and their collection types will be emphasized.  GUI programming will be introduced.,"Describe, understand and evolve programs, via documentation, testing, and debugging."
0.8944,The important role of standard libraries and their collection types will be emphasized.  GUI programming will be introduced.,Understand the legal context for protection of software as intellectual property.
0.8958,The important role of standard libraries and their collection types will be emphasized.  GUI programming will be introduced.,It introduces students to the field of computer science as a discipline for solving problems through computation and provides the foundation for more advanced courses on programming and software development.
0.8961,The important role of standard libraries and their collection types will be emphasized.  GUI programming will be introduced.,"Students learn the basic ingredients of imperative programs: mutable variables, sequencing, conditionals, iteration, functions, eager evaluation, and side effects."
0.9036,The important role of standard libraries and their collection types will be emphasized.  GUI programming will be introduced.,The course also introduces students to standard productivity tools for software development that will be used throughout the course and remainder of the computer science degree.
0.9062,The important role of standard libraries and their collection types will be emphasized.  GUI programming will be introduced.,The functional paradigm demonstrates elegant solutions to many programming problems.
0.9065,The important role of standard libraries and their collection types will be emphasized.  GUI programming will be introduced.,"Apply fundamental programming concepts, using a functional programming language, to solve simple problems."
0.9102,The important role of standard libraries and their collection types will be emphasized.  GUI programming will be introduced.,Describe and apply alternative computational paradigms to simple problems.
0.9107,The important role of standard libraries and their collection types will be emphasized.  GUI programming will be introduced.,"Data structures and algorithms, the key concepts at the core of computer science, receive their first treatment in this course. The course addresses both functional and imperative programming paradigms."
0.9113,The important role of standard libraries and their collection types will be emphasized.  GUI programming will be introduced.,"Students learn the organization of programming languages using types, how programs are evaluated (reduction), functional composition, recursive functions, algebraic data types, pattern matching, parametric polymorphism, higher-order functions."
0.9129,The important role of standard libraries and their collection types will be emphasized.  GUI programming will be introduced.,"Students also gain exposure to structural induction and proof, introduction to asymptotic analysis of basic data structures, abstract data types, modules, laziness, and streams."
0.9206,The important role of standard libraries and their collection types will be emphasized.  GUI programming will be introduced.,"The course also introduces imperative programming as an alternative paradigm to functional programming, highlighting similarities and contrasting differences."
0.9220,The important role of standard libraries and their collection types will be emphasized.  GUI programming will be introduced.,Understand basic types and the benefits of static typing.
0.9291,The important role of standard libraries and their collection types will be emphasized.  GUI programming will be introduced.,"The course covers functional programming in depth, developing the core idea of functions operating on data structures."
0.8830,"The course includes a deeper treatment of data structures, using hash tables, trees and lists, which are used to provide concrete implementations of abstract library collection types.",Understand the legal context for protection of software as intellectual property.
0.8838,"The course includes a deeper treatment of data structures, using hash tables, trees and lists, which are used to provide concrete implementations of abstract library collection types.","The Advanced version of this course covers these topics in more depth, allowing students to deepen their understanding and experience."
0.8844,"The course includes a deeper treatment of data structures, using hash tables, trees and lists, which are used to provide concrete implementations of abstract library collection types.",These include distributed software revision control systems.
0.8864,"The course includes a deeper treatment of data structures, using hash tables, trees and lists, which are used to provide concrete implementations of abstract library collection types.",This course is the first of three core computer science courses on programming.
0.8941,"The course includes a deeper treatment of data structures, using hash tables, trees and lists, which are used to provide concrete implementations of abstract library collection types.","Distinguish language definition from implementation, syntax and parsing from semantics and evaluation."
0.8990,"The course includes a deeper treatment of data structures, using hash tables, trees and lists, which are used to provide concrete implementations of abstract library collection types.","Describe, understand and evolve programs, via documentation, testing, and debugging."
0.9039,"The course includes a deeper treatment of data structures, using hash tables, trees and lists, which are used to provide concrete implementations of abstract library collection types.",The course also introduces students to standard productivity tools for software development that will be used throughout the course and remainder of the computer science degree.
0.9128,"The course includes a deeper treatment of data structures, using hash tables, trees and lists, which are used to provide concrete implementations of abstract library collection types.",It introduces students to the field of computer science as a discipline for solving problems through computation and provides the foundation for more advanced courses on programming and software development.
0.9181,"The course includes a deeper treatment of data structures, using hash tables, trees and lists, which are used to provide concrete implementations of abstract library collection types.","Discuss basic algorithmic analysis for simple algorithms; determine appropriate algorithmic approaches to a problem (brute-force, greedy, divide-and-conquer, recursive backtracking, heuristic, dynamic programming)."
0.9202,"The course includes a deeper treatment of data structures, using hash tables, trees and lists, which are used to provide concrete implementations of abstract library collection types.",Understand basic types and the benefits of static typing.
0.9220,"The course includes a deeper treatment of data structures, using hash tables, trees and lists, which are used to provide concrete implementations of abstract library collection types.","Students learn the basic ingredients of imperative programs: mutable variables, sequencing, conditionals, iteration, functions, eager evaluation, and side effects."
0.9273,"The course includes a deeper treatment of data structures, using hash tables, trees and lists, which are used to provide concrete implementations of abstract library collection types.","The course also introduces imperative programming as an alternative paradigm to functional programming, highlighting similarities and contrasting differences."
0.9289,"The course includes a deeper treatment of data structures, using hash tables, trees and lists, which are used to provide concrete implementations of abstract library collection types.","Apply fundamental programming concepts, using a functional programming language, to solve simple problems."
0.9313,"The course includes a deeper treatment of data structures, using hash tables, trees and lists, which are used to provide concrete implementations of abstract library collection types.","Discuss, use, and apply the fundamentals of data structures, algorithms, and design; create, implement, and debug algorithms for solving simple problems, including recursively, using divide-and-conquer, and via decomposition."
0.9317,"The course includes a deeper treatment of data structures, using hash tables, trees and lists, which are used to provide concrete implementations of abstract library collection types.",The functional paradigm demonstrates elegant solutions to many programming problems.
0.9354,"The course includes a deeper treatment of data structures, using hash tables, trees and lists, which are used to provide concrete implementations of abstract library collection types.","Data structures and algorithms, the key concepts at the core of computer science, receive their first treatment in this course. The course addresses both functional and imperative programming paradigms."
0.9356,"The course includes a deeper treatment of data structures, using hash tables, trees and lists, which are used to provide concrete implementations of abstract library collection types.",Describe and apply alternative computational paradigms to simple problems.
0.9430,"The course includes a deeper treatment of data structures, using hash tables, trees and lists, which are used to provide concrete implementations of abstract library collection types.","Students learn the organization of programming languages using types, how programs are evaluated (reduction), functional composition, recursive functions, algebraic data types, pattern matching, parametric polymorphism, higher-order functions."
0.9551,"The course includes a deeper treatment of data structures, using hash tables, trees and lists, which are used to provide concrete implementations of abstract library collection types.","Students also gain exposure to structural induction and proof, introduction to asymptotic analysis of basic data structures, abstract data types, modules, laziness, and streams."
0.9551,"The course includes a deeper treatment of data structures, using hash tables, trees and lists, which are used to provide concrete implementations of abstract library collection types.","The course covers functional programming in depth, developing the core idea of functions operating on data structures."
0.8638,The theory of data structures and their time and space complexity will thus be tied to the practice of using standard collections such as those offered by object oriented languages.,"The Advanced version of this course covers these topics in more depth, allowing students to deepen their understanding and experience."
0.8688,The theory of data structures and their time and space complexity will thus be tied to the practice of using standard collections such as those offered by object oriented languages.,This course is the first of three core computer science courses on programming.
0.8801,The theory of data structures and their time and space complexity will thus be tied to the practice of using standard collections such as those offered by object oriented languages.,These include distributed software revision control systems.
0.8826,The theory of data structures and their time and space complexity will thus be tied to the practice of using standard collections such as those offered by object oriented languages.,Understand the legal context for protection of software as intellectual property.
0.8957,The theory of data structures and their time and space complexity will thus be tied to the practice of using standard collections such as those offered by object oriented languages.,The course also introduces students to standard productivity tools for software development that will be used throughout the course and remainder of the computer science degree.
0.8982,The theory of data structures and their time and space complexity will thus be tied to the practice of using standard collections such as those offered by object oriented languages.,"Describe, understand and evolve programs, via documentation, testing, and debugging."
0.8985,The theory of data structures and their time and space complexity will thus be tied to the practice of using standard collections such as those offered by object oriented languages.,"Distinguish language definition from implementation, syntax and parsing from semantics and evaluation."
0.9022,The theory of data structures and their time and space complexity will thus be tied to the practice of using standard collections such as those offered by object oriented languages.,"Discuss basic algorithmic analysis for simple algorithms; determine appropriate algorithmic approaches to a problem (brute-force, greedy, divide-and-conquer, recursive backtracking, heuristic, dynamic programming)."
0.9040,The theory of data structures and their time and space complexity will thus be tied to the practice of using standard collections such as those offered by object oriented languages.,Understand basic types and the benefits of static typing.
0.9076,The theory of data structures and their time and space complexity will thus be tied to the practice of using standard collections such as those offered by object oriented languages.,"Students learn the basic ingredients of imperative programs: mutable variables, sequencing, conditionals, iteration, functions, eager evaluation, and side effects."
0.9100,The theory of data structures and their time and space complexity will thus be tied to the practice of using standard collections such as those offered by object oriented languages.,It introduces students to the field of computer science as a discipline for solving problems through computation and provides the foundation for more advanced courses on programming and software development.
0.9105,The theory of data structures and their time and space complexity will thus be tied to the practice of using standard collections such as those offered by object oriented languages.,"The course also introduces imperative programming as an alternative paradigm to functional programming, highlighting similarities and contrasting differences."
0.9210,The theory of data structures and their time and space complexity will thus be tied to the practice of using standard collections such as those offered by object oriented languages.,The functional paradigm demonstrates elegant solutions to many programming problems.
0.9213,The theory of data structures and their time and space complexity will thus be tied to the practice of using standard collections such as those offered by object oriented languages.,Describe and apply alternative computational paradigms to simple problems.
0.9219,The theory of data structures and their time and space complexity will thus be tied to the practice of using standard collections such as those offered by object oriented languages.,"Apply fundamental programming concepts, using a functional programming language, to solve simple problems."
0.9232,The theory of data structures and their time and space complexity will thus be tied to the practice of using standard collections such as those offered by object oriented languages.,"Discuss, use, and apply the fundamentals of data structures, algorithms, and design; create, implement, and debug algorithms for solving simple problems, including recursively, using divide-and-conquer, and via decomposition."
0.9295,The theory of data structures and their time and space complexity will thus be tied to the practice of using standard collections such as those offered by object oriented languages.,"Students also gain exposure to structural induction and proof, introduction to asymptotic analysis of basic data structures, abstract data types, modules, laziness, and streams."
0.9305,The theory of data structures and their time and space complexity will thus be tied to the practice of using standard collections such as those offered by object oriented languages.,"Students learn the organization of programming languages using types, how programs are evaluated (reduction), functional composition, recursive functions, algebraic data types, pattern matching, parametric polymorphism, higher-order functions."
0.9334,The theory of data structures and their time and space complexity will thus be tied to the practice of using standard collections such as those offered by object oriented languages.,"Data structures and algorithms, the key concepts at the core of computer science, receive their first treatment in this course. The course addresses both functional and imperative programming paradigms."
0.9341,The theory of data structures and their time and space complexity will thus be tied to the practice of using standard collections such as those offered by object oriented languages.,"The course covers functional programming in depth, developing the core idea of functions operating on data structures."
0.8733,"The foundations of software engineering including: major development paradigms (such as big plan up front, agile, and formal methods), risk are introduced.","The Advanced version of this course covers these topics in more depth, allowing students to deepen their understanding and experience."
0.8757,"The foundations of software engineering including: major development paradigms (such as big plan up front, agile, and formal methods), risk are introduced.",This course is the first of three core computer science courses on programming.
